Tue |Thu |      0|30-04-0520| 1500| 215 |   1505|Yes |LQ   4|   N/A   |-- Exact 1500 Years Ago -- 
Mon |Mon | 345867|13-04-2967| -948|   0*|   -942|No  |FQ  11|   N/A   |--- Good Friday, On Friday the 13th ---- @ Mon-13-Apr-2967
Thu |Thu | 352807|13-04-2986| -967|   0*|   -955|No  |FQ  12|   N/A   |--- Good Friday, On Friday the 13th ---- @ Thu-13-Apr-2986
Wed |Wed | 355053|06-06-2992| -973|   0*|   -966|Yes |O * 13|   N/A   |>>-666 On a Full Moon at: 13:29:17
Mon |Mon | 359069|06-06-3003| -984|   0*|   -978|No  |O * 14|   N/A   |>>-666 On a Full Moon at: 22:32:41
Thu |Thu | 366009|06-06-3022|-1003|   0*|   -991|No  |O * 15|   N/A   |>>-666 On a Full Moon at: 23:06:53
Sun |Sun | 372949|06-06-3041|-1022|   0*|  -1015|No  |O * 15|   N/A   |>>-666 On a Full Moon at: 20:51:25
Wed |Wed | 379889|06-06-3060|-1041|   0*|  -1034|Yes |O * 15|   N/A   |>>-666 On a Full Moon at: 11:16:19
Fri |Fri | 386828|06-06-3079|-1060|   0*|  -1054|No  |O * 14|   N/A   |>>-666 On a Full Moon at: 19:06:47
Mon |Mon | 393768|06-06-3098|-1079|   0*|  -1072|No  |O * 13|   N/A   |>>-666 On a Full Moon at: 04:07:43
Wed |Wed | 400707|06-06-3117|-1098|   0*|  -1091|No  |O * 14|   N/A   |>>-666 On a Full Moon at: 20:42:55
Sat |Sat | 407647|06-06-3136|-1117|   0*|  -1110|Yes |O * 14|   N/A   |>>-666 On a Full Moon at: 19:49:07
Fri |Fri | 411664|06-06-3147|-1128|   0*|  -1122|No  |O * 15|   N/A   |>>-666 On a Full Moon at: 11:30:04
Mon |Mon | 418604|06-06-3166|-1147|   0*|  -1135|No  |O * 15|   N/A   |>>-Next '6 or 66' 666 On a Full Moon at: 02:58:34
Wed |Wed | 435406|06-06-3212|-1193|   0*|  -1186|Yes |O * 14|   N/A   |>>-666 On a Full Moon at: 13:13:17
Fri |Fri | 442345|06-06-3231|-1212|   0*|  -1206|No  |O * 13|   N/A   |>>-666 On a Full Moon at: 23:34:15
Mon |Mon | 449285|06-06-3250|-1231|   0*|  -1219|No  |O * 14|   N/A   |>>-666 On a Full Moon at: 17:51:39
Thu |Thu | 456225|06-06-3269|-1250|   0*|  -1243|No  |O * 14|   N/A   |>>-666 On a Full Moon at: 17:44:24
Sun |Sun | 463165|06-06-3288|-1269|   0*|  -1262|Yes |O * 15|   N/A   |>>-666 On a Full Moon at: 17:56:10
Mon |Mon | 474121|06-06-3318|-1299|   0*|  -1287|No  |O * 14|   N/A   |>>-666 On a Full Moon at: 05:09:09
Wed |Wed | 490923|06-06-3364|-1345|   0*|  -1338|Yes |O * 13|   N/A   |>>-666 On a Full Moon at: 19:15:04
Tue |Tue | 494940|06-06-3375|-1356|   0*|  -1350|No  |O * 14|   N/A   |>>-666 On a Full Moon at: 07:10:02
Fri |Fri | 501880|06-06-3394|-1376|   0*|  -1369|No  |O * 15|   N/A   |>>-666 On a Full Moon at: 07:28:49
Wed |Wed | 515759|06-06-3432|-1414|   0*|  -1407|Yes |O * 15|   N/A   |>>-666 On a Full Moon at: 15:32:21
Fri |Fri | 522698|06-06-3451|-1433|   0*|  -1427|No  |O * 14|   N/A   |>>-666 On a Full Moon at: 22:44:39
Mon |Mon | 529638|06-06-3470|-1452|   0*|  -1440|No  |O * 13|   N/A   |>>-666 On a Full Moon at: 09:36:11
Thu |Thu | 536578|06-06-3489|-1471|   0*|  -1464|No  |O * 14|   N/A   |>>-666 On a Full Moon at: 04:25:14
Fri |Fri | 547534|06-06-3519|-1501|   0*|  -1495|No  |O * 15|   N/A   |>>-666 On a Full Moon at: 18:16:11
Mon |Mon | 554474|06-06-3538|-1520|   0*|  -1508|No  |O * 15|   N/A   |>>-666 On a Full Moon at: 07:24:10
Wed |Wed | 571276|06-06-3584|-1566|   0*|  -1559|Yes |O * 14|   N/A   |>>-666 On a Full Moon at: 17:02:46
Sat |Sat | 603052|06-06-3671|-1653|   0*|  -1647|No  |O * 15|   N/A   |>>-666 On a Full Moon at: 01:45:35
Tue |Tue | 630810|06-06-3747|-1729|   0*|  -1723|No  |O * 14|   N/A   |>>-666 On a Full Moon at: 15:52:48
Fri |Fri | 637750|06-06-3766|-1748|   0*|  -1736|No  |O * 15|   N/A   |>>-'6 or 66' 666 On a Full Moon at: 15:28:53
Mon |Mon | 644690|06-06-3785|-1767|   0*|  -1760|No  |O * 15|   N/A   |>>-666 On a Full Moon at: 09:23:05
Wed |Wed | 651629|06-06-3804|-1786|   0*|  -1779|Yes |O * 14|   N/A   |>>-666 On a Full Moon at: 19:26:04
Mon |Mon | 665508|06-06-3842|-1824|   0*|  -1812|No  |O * 13|   N/A   |>>-666 On a Full Moon at: 15:47:34
Thu |Thu | 672448|06-06-3861|-1843|   0*|  -1836|No  |O * 14|   N/A   |>>-666 On a Full Moon at: 12:32:04
Sun |Sun | 679388|06-06-3880|-1862|   0*|  -1855|Yes |O * 15|   N/A   |>>-666 On a Full Moon at: 13:06:00
Sat |Sat | 683405|06-06-3891|-1873|   0*|  -1867|No  |O * 15|   N/A   |>>-666 On a Full Moon at: 00:26:06
Mon |Mon | 690344|06-06-3910|-1892|   0*|  -1880|No  |O * 14|   N/A   |>>-666 On a Full Moon at: 11:23:49
Wed |Wed | 707146|06-06-3956|-1938|   0*|  -1931|Yes |O * 14|   N/A   |>>-666 On a Full Moon at: 21:24:47
Tue |Tue | 711163|06-06-3967|-1949|   0*|  -1943|No  |O * 14|   N/A   |>>-666 On a Full Moon at: 02:49:36
Fri |Fri | 718103|06-06-3986|-1968|   0*|  -1956|No  |O * 14|   N/A   |>>-666 On a Full Moon at: 03:15:21
Mon |Mon | 725043|06-06-4005|-1987|   0*|  -1980|No  |O * 15|   N/A   |>>-666 On a Full Moon at: 02:42:15
Sat |Sat | 738922|06-06-4043|-2025|   0*|  -2019|No  |O * 14|   N/A   |>>-666 On a Full Moon at: 05:37:53
Mon |Mon | 755724|06-06-4089|-2071|   0*|  -2064|No  |O * 14|   N/A   |>>-666 On a Full Moon at: 16:33:56
Sun |Sun | 759741|06-06-4100|-2082|   0*|  -2075|No  |O * 14|   N/A   |>>-666 On a Full Moon at: 00:00:10
Fri |Fri | 773620|06-06-4138|-2120|   0*|  -2108|No  |O * 15|   N/A   |>>-666 On a Full Moon at: 23:01:23
Mon |Mon | 780560|06-06-4157|-2139|   0*|  -2132|No  |O * 15|   N/A   |>>-666 On a Full Moon at: 14:43:11
Sat |Sat | 794439|06-06-4195|-2177|   0*|  -2170|No  |O * 14|   N/A   |>>-666 On a Full Moon at: 07:26:31
Mon |Mon | 801378|06-06-4214|-2196|   0*|  -2184|No  |O * 13|   N/A   |>>-666 On a Full Moon at: 22:42:56
Thu |Thu | 808318|06-06-4233|-2215|   0*|  -2208|No  |O * 14|   N/A   |>>-666 On a Full Moon at: 20:58:53
Sun |Sun | 815258|06-06-4252|-2234|   0*|  -2227|Yes |O * 15|   N/A   |>>-666 On a Full Moon at: 21:37:54
Sat |Sat | 819275|06-06-4263|-2245|   0*|  -2239|No  |O * 15|   N/A   |>>-666 On a Full Moon at: 06:00:38
Tue |Tue | 847033|06-06-4339|-2321|   0*|  -2315|No  |O * 14|   N/A   |>>-666 On a Full Moon at: 11:05:40
Fri |Fri | 853973|06-06-4358|-2340|   0*|  -2328|No  |O * 15|   N/A   |>>-666 On a Full Moon at: 11:50:06
Mon |Mon | 860913|06-06-4377|-2359|   0*|  -2352|No  |O * 15|   N/A   |>>-666 On a Full Moon at: 10:05:13
Thu |Thu | 867853|06-06-4396|-2378|   0*|  -2371|Yes |O * 15|   N/A   |>>-666 On a Full Moon at: 01:13:14
Sat |Sat | 874792|06-06-4415|-2397|   0*|  -2391|No  |O * 14|   N/A   |>>-666 On a Full Moon at: 09:23:33
Mon |Mon | 891594|06-06-4461|-2443|   0*|  -2436|No  |O * 13|   N/A   |>>-666 On a Full Moon at: 22:05:24
Thu |Thu | 898534|06-06-4480|-2462|   0*|  -2455|Yes |O * 14|   N/A   |>>-666 On a Full Moon at: 16:34:28
Wed |Wed | 902551|06-06-4491|-2473|   0*|  -2467|No  |O * 15|   N/A   |>>-666 On a Full Moon at: 09:01:58
Mon |Mon | 916430|06-06-4529|-2511|   0*|  -2504|No  |O * 15|   N/A   |>>-666 On a Full Moon at: 19:33:55
Thu |Thu | 923370|06-06-4548|-2530|   0*|  -2523|Yes |O * 14|   N/A   |>>-666 On a Full Moon at: 03:05:07
Sat |Sat | 930309|06-06-4567|-2549|   0*|  -2543|No  |O * 13|   N/A   |>>-666 On a Full Moon at: 12:44:55
Tue |Tue | 937249|06-06-4586|-2568|   0*|  -2556|No  |O * 14|   N/A   |>>-666 On a Full Moon at: 06:10:42
Sat |Sat | 955145|06-06-4635|-2617|   0*|  -2611|No  |O * 15|   N/A   |>>-666 On a Full Moon at: 10:59:30
Mon |Mon | 971947|06-06-4681|-2663|   0*|  -2656|No  |O * 14|   N/A   |>>-666 On a Full Moon at: 21:02:08
Tue |Tue | 982903|06-06-4711|-2693|   0*|  -2687|No  |O * 14|   N/A   |>>-666 On a Full Moon at: 19:35:06
Fri |Fri | 989843|06-06-4730|-2712|   0*|  -2700|No  |O * 15|   N/A   |>>-666 On a Full Moon at: 20:11:23
Mon |Mon | 996783|06-06-4749|-2731|   0*|  -2724|No  |O * 15|   N/A   |>>-666 On a Full Moon at: 16:56:57
Thu |Thu |1003723|06-06-4768|-2750|   0*|  -2743|Yes |O * 15|   N/A   |>>-666 On a Full Moon at: 05:54:30
Sat |Sat |1010662|06-06-4787|-2769|   0*|  -2763|No  |O * 14|   N/A   |>>-666 On a Full Moon at: 13:17:53
Wed |Wed |1038421|06-06-4863|-2845|   0*|  -2839|No  |O * 15|   N/A   |>>-666 On a Full Moon at: 17:17:42
Sat |Sat |1045361|06-06-4882|-2865|   0*|  -2853|No  |O * 15|   N/A   |>>-666 On a Full Moon at: 12:35:30
Mon |Mon |1052300|06-06-4901|-2884|   0*|  -2877|No  |O * 15|   N/A   |>>-666 On a Full Moon at: 23:58:47
Thu |Thu |1059240|06-06-4920|-2903|   0*|  -2896|Yes |O * 14|   N/A   |>>-666 On a Full Moon at: 07:10:35
Sat |Sat |1066179|06-06-4939|-2922|   0*|  -2916|No  |O * 13|   N/A   |>>-666 On a Full Moon at: 18:41:55
Tue |Tue |1073119|06-06-4958|-2941|   0*|  -2929|No  |O * 14|   N/A   |>>-666 On a Full Moon at: 14:05:11
Fri |Fri |1080059|06-06-4977|-2960|   0*|  -2953|No  |O * 14|   N/A   |>>-666 On a Full Moon at: 14:14:14
Mon |Mon |1086999|06-06-4996|-2979|   0*|  -2971|Yes |O * 15|   N/A   |>>-666 On a Full Moon at: 13:52:59
Sat |Sat |1091015|06-06-5007|-2990|   0*|  -2984|No  |O * 15|   N/A   |>>-666 On a Full Moon at: 15:33:47
Thu |Thu |1114757|06-06-5072|-3055|   0*|  -3048|Yes |O * 13|   N/A   |>>-666 On a Full Moon at: 14:27:06
Wed |Wed |1118774|06-06-5083|-3066|   0*|  -3060|No  |O * 14|   N/A   |>>-666 On a Full Moon at: 04:04:13
Mon |Mon |1132653|06-06-5121|-3104|   0*|  -3097|No  |O * 15|   N/A   |>>-666 On a Full Moon at: 23:14:21
Thu |Thu |1139593|06-06-5140|-3123|   0*|  -3116|Yes |O * 14|   N/A   |>>-666 On a Full Moon at: 10:12:57
Sat |Sat |1146532|06-06-5159|-3142|   0*|  -3136|No  |O * 14|   N/A   |>>-666 On a Full Moon at: 17:28:47
Tue |Tue |1153472|06-06-5178|-3161|   0*|  -3149|No  |O * 13|   N/A   |>>-666 On a Full Moon at: 05:34:24
Fri |Fri |1160412|06-06-5197|-3180|   0*|  -3173|No  |O * 14|   N/A   |>>-666 On a Full Moon at: 01:30:20
Mon |Mon |1167352|06-06-5216|-3199|   0*|  -3192|Yes |O * 14|   N/A   |>>-666 On a Full Moon at: 01:48:07
Sat |Sat |1181231|06-06-5254|-3237|   0*|  -3225|No  |O * 15|   N/A   |>>-666 On a Full Moon at: 18:32:26
Tue |Tue |1188171|06-06-5273|-3256|   0*|  -3249|No  |O * 14|   N/A   |>>-666 On a Full Moon at: 04:09:48
Tue |Tue |1208989|06-06-5330|-3313|   0*|  -3301|No  |O * 14|   N/A   |>>-666 On a Full Moon at: 22:21:47
Fri |Fri |1215929|06-06-5349|-3332|   0*|  -3325|No  |O * 15|   N/A   |>>-666 On a Full Moon at: 22:52:28
Mon |Mon |1222869|06-06-5368|-3351|   0*|  -3344|Yes |O * 15|   N/A   |>>-666 On a Full Moon at: 21:28:31
Thu |Thu |1250627|06-06-5444|-3427|   0*|  -3420|Yes |O * 14|   N/A   |>>-666 On a Full Moon at: 21:22:13
Wed |Wed |1254644|06-06-5455|-3438|   0*|  -3432|No  |O * 15|   N/A   |>>-666 On a Full Moon at: 12:44:00
Sat |Sat |1261584|06-06-5474|-3457|   0*|  -3445|No  |O * 15|   N/A   |>>-666 On a Full Moon at: 12:01:41
Tue |Tue |1268524|06-06-5493|-3476|   0*|  -3469|No  |O * 15|   N/A   |>>-666 On a Full Moon at: 05:00:30
Thu |Thu |1275463|06-06-5512|-3495|   0*|  -3488|Yes |O * 14|   N/A   |>>-666 On a Full Moon at: 14:18:18
Sat |Sat |1282402|06-06-5531|-3514|   0*|  -3508|No  |O * 14|   N/A   |>>-666 On a Full Moon at: 22:05:17
Tue |Tue |1289342|06-06-5550|-3533|   0*|  -3521|No  |O * 13|   N/A   |>>-666 On a Full Moon at: 12:14:19
Fri |Fri |1296282|06-06-5569|-3552|   0*|  -3545|No  |O * 14|   N/A   |>>-666 On a Full Moon at: 09:47:45
Mon |Mon |1303222|06-06-5588|-3571|   0*|  -3564|Yes |O * 15|   N/A   |>>-666 On a Full Moon at: 10:23:40
Tue |Tue |1324041|06-06-5645|-3628|   0*|  -3621|No  |O * 14|   N/A   |>>-666 On a Full Moon at: 08:17:37
Sun |Sun |1337920|06-06-5683|-3666|   0*|  -3660|No  |O * 14|   N/A   |>>-666 On a Full Moon at: 08:24:21
Tue |Tue |1379558|06-06-5797|-3780|   0*|  -3767|No  |O * 14|   N/A   |>>-666 On a Full Moon at: 11:33:43
Wed |Wed |1390514|06-06-5827|-3810|   0*|  -3804|No  |O * 15|   N/A   |>>-666 On a Full Moon at: 21:13:52
Sat |Sat |1397454|06-06-5846|-3829|   0*|  -3817|No  |O * 15|   N/A   |>>-666 On a Full Moon at: 19:21:08
Tue |Tue |1404394|06-06-5865|-3848|   0*|  -3841|No  |O * 15|   N/A   |>>-666 On a Full Moon at: 10:17:48
Tue |Tue |1425212|06-06-5922|-3905|   0*|  -3893|No  |O * 14|   N/A   |>>-666 On a Full Moon at: 19:27:29
Fri |Fri |1432152|06-06-5941|-3924|   0*|  -3917|No  |O * 14|   N/A   |>>-666 On a Full Moon at: 18:15:50
Mon |Mon |1439092|06-06-5960|-3943|   0*|  -3936|Yes |O * 15|   N/A   |>>-666 On a Full Moon at: 18:49:15
Sun |Sun |1443109|06-06-5971|-3954|   0*|  -3948|No  |O * 15|   N/A   |>>-666 On a Full Moon at: 01:33:59
Tue |Tue |1459911|06-06-6017|-4000|   0*|  -3993|No  |O * 14|   N/A   |>>-666 On a Full Moon at: 12:30:42
Sun |Sun |1473790|06-06-6055|-4038|   0*|  -4032|No  |O * 14|   N/A   |>>-666 On a Full Moon at: 15:59:35
Wed |Wed |1480730|06-06-6074|-4057|   0*|  -4045|No  |O * 14|   N/A   |>>-666 On a Full Moon at: 15:25:04
Sat |Sat |1487670|06-06-6093|-4076|   0*|  -4069|No  |O * 15|   N/A   |>>-666 On a Full Moon at: 15:36:19
Sun |Sun |1498626|06-06-6123|-4106|   0*|  -4100|No  |O * 14|   N/A   |>>-666 On a Full Moon at: 04:05:19
Tue |Tue |1515428|06-06-6169|-4152|   0*|  -4145|No  |O * 13|   N/A   |>>-666 On a Full Moon at: 17:34:29
Fri |Fri |1522368|06-06-6188|-4171|   0*|  -4164|Yes |O * 14|   N/A   |>>-666 On a Full Moon at: 12:38:57
Thu |Thu |1526385|06-06-6199|-4182|   0*|  -4175|No  |O * 15|   N/A   |>>-666 On a Full Moon at: 05:32:51
Tue |Tue |1540264|06-06-6237|-4220|   0*|  -4213|No  |O * 15|   N/A   |>>-666 On a Full Moon at: 15:11:09
Sun |Sun |1554143|06-06-6275|-4258|   0*|  -4252|No  |O * 13|   N/A   |>>-666 On a Full Moon at: 08:54:32
Wed |Wed |1561083|06-06-6294|-4277|   0*|  -4270|No  |O * 14|   N/A   |>>-666 On a Full Moon at: 03:04:42
Sun |Sun |1578979|06-06-6343|-4326|   0*|  -4320|No  |O * 15|   N/A   |>>-666 On a Full Moon at: 06:46:09
Tue |Tue |1595781|06-06-6389|-4373|   0*|  -4366|No  |O * 14|   N/A   |>>-666 On a Full Moon at: 16:59:00
Fri |Fri |1602721|06-06-6408|-4392|   0*|  -4385|Yes |O * 13|   N/A   |>>-666 On a Full Moon at: 04:33:20
Sun |Sun |1609660|06-06-6427|-4411|   0*|  -4405|No  |O * 14|   N/A   |>>-666 On a Full Moon at: 23:57:41
Sat |Sat |1623540|06-06-6465|-4449|   0*|  -4442|No  |O * 15|   N/A   |>>-666 On a Full Moon at: 23:38:29
Tue |Tue |1630480|06-06-6484|-4468|   0*|  -4461|Yes |O * 15|   N/A   |>>-666 On a Full Moon at: 17:33:45
Fri |Fri |1658238|06-06-6560|-4544|   0*|  -4537|Yes |O * 14|   N/A   |>>-666 On a Full Moon at: 20:47:30
Thu |Thu |1662255|06-06-6571|-4555|   0*|  -4549|No  |O * 15|   N/A   |>>-666 On a Full Moon at: 13:36:40
Sun |Sun |1669195|06-06-6590|-4574|   0*|  -4561|No  |O * 15|   N/A   |>>-666 On a Full Moon at: 08:40:38
Tue |Tue |1676134|06-06-6609|-4593|   0*|  -4586|No  |O * 15|   N/A   |>>-666 On a Full Moon at: 19:47:51
Fri |Fri |1683074|06-06-6628|-4612|   0*|  -4605|Yes |O * 14|   N/A   |>>-666 On a Full Moon at: 03:06:10
Sun |Sun |1690013|06-06-6647|-4631|   0*|  -4625|No  |O * 13|   N/A   |>>-666 On a Full Moon at: 15:08:56
Wed |Wed |1696953|06-06-6666|-4650|   0*|  -4638|No  |O * 14|   N/A   |>>--Next 6666 On a Full Moon at: 11:02:51
Sat |Sat |1703893|06-06-6685|-4669|   0*|  -4662|No  |O * 14|   N/A   |>>-666 On a Full Moon at: 11:24:26
Sun |Sun |1714849|06-06-6715|-4699|   0*|  -4693|No  |O * 15|   N/A   |>>-666 On a Full Moon at: 11:41:33
Tue |Tue |1731651|06-06-6761|-4745|   0*|  -4738|No  |O * 14|   N/A   |>>-666 On a Full Moon at: 21:49:11
Fri |Fri |1738591|06-06-6780|-4764|   0*|  -4757|Yes |O * 13|   N/A   |>>-666 On a Full Moon at: 11:14:48
Thu |Thu |1742608|06-06-6791|-4775|   0*|  -4769|No  |O * 14|   N/A   |>>-666 On a Full Moon at: 00:37:27
Sun |Sun |1749548|06-06-6810|-4794|   0*|  -4782|No  |O * 15|   N/A   |>>-666 On a Full Moon at: 00:26:41
Tue |Tue |1766350|06-06-6856|-4840|   0*|  -4833|Yes |O * 15|   N/A   |>>-666 On a Full Moon at: 23:21:54
Sun |Sun |1780229|06-06-6894|-4878|   0*|  -4871|No  |O * 14|   N/A   |>>-666 On a Full Moon at: 16:13:48
Thu |Thu |1798125|06-06-6943|-4927|   0*|  -4921|No  |O * 15|   N/A   |>>-666 On a Full Moon at: 21:26:06
Sun |Sun |1805065|06-06-6962|-4946|   0*|  -4934|No  |O * 15|   N/A   |>>-666 On a Full Moon at: 14:42:27
Wed |Wed |1812005|06-06-6981|-4965|   0*|  -4958|No  |O * 14|   N/A   |>>-666 On a Full Moon at: 00:15:43
Fri |Fri |1818944|06-06-7000|-4984|   0*|  -4977|No  |O * 14|   N/A   |>>-666 On a Full Moon at: 07:58:48
Sun |Sun |1825883|06-06-7019|-5003|   0*|  -4997|No  |O * 13|   N/A   |>>-666 On a Full Moon at: 21:52:47
Wed |Wed |1832823|06-06-7038|-5022|   0*|  -5010|No  |O * 14|   N/A   |>>-666 On a Full Moon at: 19:16:33
Sat |Sat |1839763|06-06-7057|-5041|   0*|  -5034|No  |O * 15|   N/A   |>>-666 On a Full Moon at: 19:54:48
Tue |Tue |1846703|06-06-7076|-5060|   0*|  -5053|Yes |O * 15|   N/A   |>>-666 On a Full Moon at: 18:28:13
Fri |Fri |1874461|06-06-7152|-5136|   0*|  -5129|Yes |O * 14|   N/A   |>>-666 On a Full Moon at: 18:23:14
Thu |Thu |1878478|06-06-7163|-5147|   0*|  -5141|No  |O * 15|   N/A   |>>-666 On a Full Moon at: 09:12:06
Sun |Sun |1885418|06-06-7182|-5166|   0*|  -5154|No  |O * 15|   N/A   |>>-666 On a Full Moon at: 08:14:55
Wed |Wed |1892358|06-06-7201|-5185|   0*|  -5178|No  |O * 15|   N/A   |>>-666 On a Full Moon at: 01:02:51
Sun |Sun |1916099|06-06-7266|-5250|   0*|  -5238|No  |O * 14|   N/A   |>>-'6 or 66' 666 On a Full Moon at: 21:51:47
Wed |Wed |1923039|06-06-7285|-5269|   0*|  -5262|No  |O * 14|   N/A   |>>-666 On a Full Moon at: 14:37:53
Sun |Sun |1940935|06-06-7334|-5318|   0*|  -5306|No  |O * 15|   N/A   |>>-666 On a Full Moon at: 20:20:21
Wed |Wed |1947875|06-06-7353|-5337|   0*|  -5330|No  |O * 14|   N/A   |>>-666 On a Full Moon at: 04:42:26
Mon |Mon |1961754|06-06-7391|-5375|   0*|  -5369|No  |O * 14|   N/A   |>>-666 On a Full Moon at: 05:02:56
Sun |Sun |1996452|06-06-7486|-5470|   0*|  -5458|No  |O * 14|   N/A   |>>-666 On a Full Moon at: 23:16:53
Thu |Thu |2014348|06-06-7535|-5519|   0*|  -5513|No  |O * 15|   N/A   |>>-666 On a Full Moon at: 17:44:22
Sun |Sun |2021288|06-06-7554|-5538|   0*|  -5526|No  |O * 15|   N/A   |>>-666 On a Full Moon at: 15:45:01
Wed |Wed |2028228|06-06-7573|-5557|   0*|  -5550|No  |O * 15|   N/A   |>>-666 On a Full Moon at: 06:44:25
Wed |Wed |2058909|06-06-7657|-5641|   0*|  -5634|No  |O * 14|   N/A   |>>-666 On a Full Moon at: 22:26:44
Sat |Sat |2065849|06-06-7676|-5660|   0*|  -5653|Yes |O * 14|   N/A   |>>-666 On a Full Moon at: 22:14:47
Fri |Fri |2069866|06-06-7687|-5671|   0*|  -5665|No  |O * 15|   N/A   |>>-666 On a Full Moon at: 12:02:17
Wed |Wed |2083745|06-06-7725|-5709|   0*|  -5702|No  |O * 14|   N/A   |>>-666 On a Full Moon at: 09:16:57
Mon |Mon |2097624|06-06-7763|-5747|   0*|  -5741|No  |O * 14|   N/A   |>>-666 On a Full Moon at: 12:38:12
Thu |Thu |2104564|06-06-7782|-5766|   0*|  -5754|No  |O * 14|   N/A   |>>-666 On a Full Moon at: 12:08:36
Mon |Mon |2122460|06-06-7831|-5815|   0*|  -5809|No  |O * 14|   N/A   |>>-666 On a Full Moon at: 01:38:53
Wed |Wed |2139262|06-06-7877|-5861|   0*|  -5854|No  |O * 13|   N/A   |>>-666 On a Full Moon at: 15:00:33
Sat |Sat |2146202|06-06-7896|-5881|   0*|  -5873|Yes |O * 14|   N/A   |>>-666 On a Full Moon at: 09:50:26
Sun |Sun |2157158|06-06-7926|-5911|   0*|  -5899|No  |O * 15|   N/A   |>>-666 On a Full Moon at: 22:55:47
Wed |Wed |2164098|06-06-7945|-5930|   0*|  -5923|No  |O * 15|   N/A   |>>-666 On a Full Moon at: 12:07:01
Mon |Mon |2177977|06-06-7983|-5968|   0*|  -5962|No  |O * 14|   N/A   |>>-666 On a Full Moon at: 05:36:02
Fri |Fri |2205736|06-06-8059|-6044|   0*|  -6038|No  |O * 15|   N/A   |>>-666 On a Full Moon at: 18:52:46
Mon |Mon |2212676|06-06-8078|-6063|   0*|  -6051|No  |O * 15|   N/A   |>>-666 On a Full Moon at: 06:46:26
Sat |Sat |2226555|06-06-8116|-6101|   0*|  -6094|Yes |O * 13|   N/A   |>>-666 On a Full Moon at: 01:21:23
Mon |Mon |2233494|06-06-8135|-6120|   0*|  -6114|No  |O * 14|   N/A   |>>-666 On a Full Moon at: 20:31:30
Thu |Thu |2240434|06-06-8154|-6139|   0*|  -6127|No  |O * 14|   N/A   |>>-666 On a Full Moon at: 20:41:11
Sun |Sun |2247374|06-06-8173|-6158|   0*|  -6151|No  |O * 15|   N/A   |>>-666 On a Full Moon at: 20:35:07
Wed |Wed |2254314|06-06-8192|-6177|   0*|  -6170|Yes |O * 15|   N/A   |>>-666 On a Full Moon at: 15:03:59
Mon |Mon |2258330|06-06-8203|-6188|   0*|  -6182|No  |O * 14|   N/A   |>>-666 On a Full Moon at: 06:25:53
Wed |Wed |2275132|06-06-8249|-6234|   0*|  -6227|No  |O * 13|   N/A   |>>-666 On a Full Moon at: 21:39:53
Sat |Sat |2282072|06-06-8268|-6253|   0*|  -6246|Yes |O * 14|   N/A   |>>-666 On a Full Moon at: 17:59:01
Fri |Fri |2286089|06-06-8279|-6264|   0*|  -6258|No  |O * 15|   N/A   |>>-666 On a Full Moon at: 10:23:16
Mon |Mon |2293029|06-06-8298|-6283|   0*|  -6276|No  |O * 15|   N/A   |>>-666 On a Full Moon at: 05:46:43
Wed |Wed |2299968|06-06-8317|-6302|   0*|  -6295|No  |O * 15|   N/A   |>>-666 On a Full Moon at: 17:20:38
Sat |Sat |2306908|06-06-8336|-6321|   0*|  -6314|Yes |O * 14|   N/A   |>>-666 On a Full Moon at: 00:36:49
Mon |Mon |2313847|06-06-8355|-6340|   0*|  -6334|No  |O * 13|   N/A   |>>-666 On a Full Moon at: 12:04:11
Thu |Thu |2320787|06-06-8374|-6359|   0*|  -6347|No  |O * 14|   N/A   |>>-666 On a Full Moon at: 07:21:20
Sun |Sun |2327727|06-06-8393|-6378|   0*|  -6371|No  |O * 14|   N/A   |>>-666 On a Full Moon at: 07:26:40
Wed |Wed |2334667|06-06-8412|-6397|   0*|  -6390|Yes |O * 15|   N/A   |>>-666 On a Full Moon at: 07:09:51
Mon |Mon |2348546|06-06-8450|-6435|   0*|  -6423|No  |O * 14|   N/A   |>>-666 On a Full Moon at: 11:44:58
Wed |Wed |2365348|06-06-8496|-6481|   0*|  -6473|Yes |O * 14|   N/A   |>>-666 On a Full Moon at: 22:25:59
Wed |Wed |2390184|06-06-8564|-6549|   0*|  -6542|Yes |O * 15|   N/A   |>>-666 On a Full Moon at: 21:16:47
Fri |Fri |2421959|06-06-8651|-6636|   0*|  -6630|No  |O * 15|   N/A   |>>-666 On a Full Moon at: 18:27:51
Mon |Mon |2428899|06-06-8670|-6655|   0*|  -6643|No  |O * 15|   N/A   |>>-666 On a Full Moon at: 12:19:52
Sat |Sat |2442778|06-06-8708|-6693|   0*|  -6686|Yes |O * 14|   N/A   |>>-666 On a Full Moon at: 05:55:20
Mon |Mon |2449717|06-06-8727|-6712|   0*|  -6706|No  |O * 13|   N/A   |>>-666 On a Full Moon at: 18:56:32
Thu |Thu |2456657|06-06-8746|-6731|   0*|  -6719|No  |O * 14|   N/A   |>>-666 On a Full Moon at: 15:35:17
Sun |Sun |2463597|06-06-8765|-6750|   0*|  -6743|No  |O * 15|   N/A   |>>-666 On a Full Moon at: 16:00:10
Wed |Wed |2470537|06-06-8784|-6769|   0*|  -6762|Yes |O * 15|   N/A   |>>-666 On a Full Moon at: 14:57:45
